club_name,event_attending,event_date,event_day
Salon Zur Wilden Renate,219,2016-05-15,Sun
Weekend,206,2016-05-15,Sun
Watergate,185,2016-05-15,Sun
Berghain | Panorama Bar | Säule,157,2016-05-15,Sun
[ipsə],133,2016-05-15,Sun
Birgit,105,2016-05-15,Sun
Mensch Meier,87,2016-05-15,Sun
Prince Charles,82,2016-05-15,Sun
Ritter Butzke,82,2016-05-15,Sun
Mensch Meier,87,2016-05-16,Mon
Griessmuehle,67,2016-05-16,Mon
Kater Blau,33,2016-05-16,Mon
Minimal Bar,19,2016-05-16,Mon
Crack Bellmer,17,2016-05-16,Mon
Süss War Gestern,17,2016-05-16,Mon
Griessmuehle,67,2016-05-15,Sun
Suicide Circus,66,2016-05-15,Sun
Loftus Hall,56,2016-05-15,Sun
Salon Zur Wilden Renate,53,2016-05-15,Sun
Club der Visionaere,51,2016-05-15,Sun
Promenaden Eck,15,2016-05-16,Mon
KitKatClub,14,2016-05-16,Mon
Tresor,14,2016-05-16,Mon
Club der Visionaere,12,2016-05-16,Mon
Solar,4,2016-05-16,Mon
Beate Uwe,4,2016-05-16,Mon
So36,3,2016-05-16,Mon
OHM,48,2016-05-15,Sun
Griessmuehle,47,2016-05-15,Sun
R19,40,2016-05-15,Sun
Gretchen,38,2016-05-15,Sun
Suicide Circus,167,2016-05-17,Tue
,52,2016-05-17,Tue
Chalet,32,2016-05-17,Tue
Süss War Gestern,25,2016-05-17,Tue
Minimal Bar,22,2016-05-17,Tue
Humboldthain Club,17,2016-05-17,Tue
,1,2016-05-16,Mon
R19,1,2016-05-16,Mon
AVA Club,34,2016-05-15,Sun
Kater Blau,33,2016-05-15,Sun
Magdalena,31,2016-05-15,Sun
,30,2016-05-15,Sun
Gretchen,16,2016-05-17,Tue
Promenaden Eck,13,2016-05-17,Tue
Kantine am Berghain,12,2016-05-17,Tue
Club der Visionaere,12,2016-05-17,Tue
Ritter Butzke,90,2016-05-19,Thu
Salon Zur Wilden Renate,70,2016-05-19,Thu
Chalet,62,2016-05-19,Thu
Else,268,2016-05-22,Sun
Berghain | Panorama Bar | Säule,252,2016-05-22,Sun
Griessmuehle,99,2016-05-22,Sun
://about blank,97,2016-05-22,Sun
KitKatClub,28,2016-05-15,Sun
Kiekebusch Open Air,25,2016-05-15,Sun
,21,2016-05-15,Sun
Süss War Gestern,21,2016-05-15,Sun
Chalet,20,2016-05-15,Sun
Mein Haus Am See,11,2016-05-17,Tue
Crack Bellmer,7,2016-05-17,Tue
Cassiopeia,1,2016-05-17,Tue
Dean,1,2016-05-17,Tue
AVA Club,43,2016-05-19,Thu
://about blank,39,2016-05-19,Thu
Griessmuehle,38,2016-05-19,Thu
Süss War Gestern,33,2016-05-19,Thu
Suicide Circus,28,2016-05-19,Thu
Humboldthain Club,24,2016-05-19,Thu
Suicide Circus,87,2016-05-22,Sun
Mensch Meier,78,2016-05-22,Sun
://about blank,43,2016-05-22,Sun
Kater Blau,42,2016-05-22,Sun
Weyde³,40,2016-05-22,Sun
R19,40,2016-05-22,Sun
Minimal Bar,20,2016-05-15,Sun
://about blank,19,2016-05-15,Sun
Frannz Club,17,2016-05-15,Sun
Golden Gate,16,2016-05-15,Sun
Rosi's,14,2016-05-15,Sun
Bohnengold,14,2016-05-15,Sun
Club der Visionaere,16,2016-05-19,Thu
Minimal Bar,16,2016-05-19,Thu
Paloma,15,2016-05-19,Thu
Void Club,12,2016-05-19,Thu
Berghain | Panorama Bar | Säule,11,2016-05-19,Thu
Promenaden Eck,11,2016-05-19,Thu
Griessmuehle,39,2016-05-22,Sun
Magdalena,36,2016-05-22,Sun
[ipsə],36,2016-05-22,Sun
Sage Beach Berlin,17,2016-05-22,Sun
Chalet,16,2016-05-22,Sun
Promenaden Eck,12,2016-05-15,Sun
Kultstätte Keller,9,2016-05-15,Sun
Brunnen70,8,2016-05-15,Sun
